ID,Description,Entry_ID,Media_IDs
SN000688,"to wash (utensils, one's body)",LX000666,
SN000689,yesterday,LX000667,
SN000690,until yesterday,LX000668,
SN000691,since yesterday,LX000669,
SN000692,yesterday's; younger,LX000670,
SN000693,grape,LX000671,
SN000694,"to be stretched out, grow tall, grow long",LX000672,
SN000695,to stretch sth out,LX000673,
SN000696,"to pull, draw",LX000674,
SN000697,"stretched out, lying",LX000675,
SN000698,"to lay down, stretch out",LX000676,
SN000699,"to scratch, scrape",LX000677,
SN000700,saw (masc sg),LX000678,
SN000701,of length; of hight,LX000679,
SN000702,"long, tall",LX000680,
SN000703,early evening (appr. 6-7 pm),LX000681,
SN000704,"stream; streambed, gorge",LX000682,
SN000705,"to sip, drink",LX000683,
SN000706,Drosh (bazaar town in southern Chitral); sub-district (tehsil) centre for the area where Palula is spoken,LX000684,
SN000707,both,LX000685,
SN000708,"both, the two of them",LX000686,
SN000709,two (agr: non-nom),LX000687,
SN000710,second,LX000688,
SN000711,both (obl),LX000689,
SN000712,fog,dhun,
SN000713,brideprice,LX000690,
SN000714,mouth,dhut,
SN000715,"smoke, fume",LX000691,
SN000716,"to separate (from), divide",LX000692,
SN000717,far away; away,LX000693,
SN000718,separately,LX000694,
SN000719,second; the other,LX000695,
SN000720,"to give, put",LX000696,
SN000721,from; (out) of; than; with,LX000697,
SN000722,"to fall, come upon, strike",LX000698,
SN000723,"far from, away from",LX000699,
SN000724,without,LX000700,
SN000725,"before, prior to",LX000701,
SN000726,"before, prior to",LX000702,
SN000727,brother-in-law; a woman's husband's brother,LX000703,
SN000728,(home) village,LX000704,
SN000729,brain; mind,LX000705,
SN000730,she-goat (kept in the house and not sent to the pastures),LX000706,
SN000731,hand-span (as a measure),LX000707,
SN000732,"gave, put (masc sg)",LX000708,
SN000733,"fell, came upon, stroke (masc sg)",LX000709,
SN000734,two years old male goat,LX000710,
SN000735,grandfather; father's father; forefather,LX000711,
SN000736,friend,LX000712,
SN000737,friendship,LX000713,
SN000738,hell,LX000714,
SN000739,prayer; request,LX000715,
SN000740,"to pray, plead with",LX000716,
SN000741,again,LX000717,
SN000742,forty (two twenties),LX000718,
SN000743,forty-one (two twenties and one),LX000719,
SN000744,forty-eight (two twenties and eight),LX000720,
SN000745,fifty-one (two twenties and eleven),LX000721,
SN000746,fifty-nine (two twenties and nineteen),LX000722,
SN000747,fifty-eight (two twenties and eighteen),LX000723,
SN000748,fifty-two (two twenties and twelve),LX000724,
SN000749,fifty-four (two twenties and fourteen),LX000725,
SN000750,forty-four (two twenties and four),LX000726,
SN000751,fifty (two twenties and ten),LX000727,
SN000752,forty-two (two twenties and two),LX000728,
SN000753,forty-nine (two twenties and nine),LX000729,
SN000754,forty-five (two twenties and five),LX000730,
SN000755,fifty-five (two twenties and fifteen),LX000731,
SN000756,forty-seven (two twenties and seven),LX000732,
SN000757,fifty-seven (two twenties and seventeen),LX000733,
SN000758,forty-six (two twenties and six),LX000734,
SN000759,fifty-six (two twenties and sixteen),LX000735,
SN000760,fifty-three (two twenties and thirteen),LX000736,
SN000761,forty-three (two twenties and three),LX000737,
SN000762,"other, another (one); the other (out of two or more entities referred to); any other, sth or sb else",LX000738,
SN000763,"another; other, some other",LX000739,
SN000764,"shop, store",LX000740,
SN000765,shopkeeper,LX000741,
SN000766,"shopkeeping, business",LX000742,
SN000767,"to twist, spin (fluff up wool in mattresses, etc.)",LX000743,
SN000768,to think,LX000744,
SN000769,world,LX000745,
SN000770,pot,LX000746,
SN000771,dust,LX000747,
SN000772,Monday,LX000748,
SN000773,"toward, at, in the direction of",LX000749,
SN000774,from (the direction of),LX000750,
SN000775,enemy,LX000751,
SN000776,enmity,LX000752,
SN000777,talkative,LX000753,
SN000778,two,LX000754,
SN000779,forty (lit. two twenties),LX000755,
SN000780,two hundred,LX000756,
SN000781,two and a half,LX000757,
SN000782,two thousand,LX000758,
SN000783,marriage proposal,LX000759,
SN000784,"plateau, plain area on top of a hill",LX000760,
SN000785,robbery,LX000761,
SN000786,to rob,LX000762,
SN000787,doctor,LX000763,
SN000788,robber; thief,LX000764,
SN000789,markhor (a species of wild goat),LX000765,
SN000790,double,LX000766,
SN000791,"toward, at, in the direction of",LX000767,
SN000792,"hard, firm",LX000768,
SN000793,Co-lexicalized intensifier,LX000769,
SN000794,Palula speaking; Palulo (a designation used mainly by non-Palulo people; considered derogatory in Ashret),LX000770,
SN000795,"pile (of stones, bricks or mud)",LX000771,
SN000796,"to touch, hit",LX000772,
SN000797,to be buried,LX000773,
SN000798,"to bury, plant",LX000774,
SN000799,belly,LX000775,
SN000800,stomach pain,LX000776,
SN000801,Co-lexicalized intensifier,LX000777,
SN000802,beetle; bug,LX000778,
SN000803,piece of wood,LX000779,
SN000804,tool for levelling roof,LX000780,
SN000805,wooden stool,LX000781,
SN000806,"to appear, come into sight",LX000782,
SN000807,hopper; grain container,LX000783,
SN000808,"to bray, moo, bleet, etc.",LX000784,
SN000809,"to bump, collide, knock against (one another)",LX000785,
SN000810,"to knock [with force], make collide",LX000786,
SN000811,loose; not fitting,LX000787,
SN000812,to loosen sth,LX000788,
SN000813,"duty, job",LX000789,
SN000814,to do one's job; hold a vigil,LX000790,
SN000815,great-grandfather,LX000791,
SN000816,design,LX000792,
SN000817,to carry (another human being),LX000793,
SN000818,back,LX000794,
SN000819,"sedan chair, carriage (for bride)",LX000795,
SN000820,to roll,LX000796,
SN000821,hut (esp. in the pasture); simple house,LX000797,
SN000822,ladle,LX000798,
SN000823,Expression used when addressing a person or attracting sb's attention,LX000799,
SN000824,Plural suffix (with ai-ending a-declension nouns),LX000800,
SN000825,Oblique case suffix (with ai-ending a-declension nouns),LX000801,
SN000826,"Marker of exclusivity, emphasis, intensification or continuity",LX000802,
SN000827,Inclusivity (or substantivizing) suffix,LX000803,
SN000828,Simulteneity suffix; as soon as,LX000804,
SN000829,Plural suffix (with ee-declension nouns),LX000805,
SN000830,Converb suffix (with o-ending verb stems),LX000806,
SN000831,Utterance final question clitic,ee_1,
SN000832,Conjoining marker cliticized to the first constituent,ee_2,
SN000833,"half; half of, some of; the one half; half of the people; some of them, etc. (fem)",LX000807,
SN000834,Perfective suffix (with a-ending L-verbs followed by a feminine agreement suffix),LX000808,
SN000835,Oblique plural suffix (with ai-ending a-declension nouns),LX000809,
SN000836,Oblique plural suffix (with ee-declension nouns),LX000810,
SN000837,"unripe, raw (fem)",LX000811,
SN000838,Present tense suffix (when followed by feminine agreement suffix),LX000812,
SN000839,Present tense suffix (with a closed class of (motion) verbs followed by feminie agreement suffix),LX000813,
SN000840,"of that/this kind, in this/that way; such, thus",LX000814,
SN000841,this (agr: prox fem / prox non-nom masc),LX000815,
SN000842,these (agr: prox),LX000816,
SN000843,this one; it; she (prox fem nom),LX000817,
SN000844,these ones; they (prox nom),LX000818,
SN000845,this (agr: prox nom masc),LX000819,
SN000846,it; he; this one (prox masc nom),LX000820,
SN000847,Obligative suffix,LX000821,
SN000848,there; to there (dist); on that,LX000822,
SN000849,from there (dist); of that,LX000823,
SN000850,them; those (dist acc),LX000824,
SN000851,their; of those (dist),LX000825,
SN000852,they (dist obl),LX000826,
SN000853,that one; it; him; her (dist acc),LX000827,
SN000854,its; his; her; of that (dist),LX000828,
SN000855,that (agr: dist fem / dist non-nom masc),LX000829,
SN000856,those (agr: dist),LX000830,
SN000857,that one; it; she; such (dist fem nom),LX000831,
SN000858,those ones; they (dist nom),LX000832,
SN000859,that; it; he; she; there (dist obl with postposition),LX000833,
SN000860,that (agr: dist nom masc),LX000834,
SN000861,it; he; that one; this one; such (dist masc nom),LX000835,
SN000862,that (agr: rem fem / rem non-nom masc),LX000836,
SN000863,those; such (agr: rem),LX000837,
SN000864,that one; it; she (rem fem nom),LX000838,
SN000865,those ones; they (rem nom),LX000839,
SN000866,that (agr: rem nom masc),LX000840,
SN000867,it; he; that one; someone (rem masc nom),LX000841,
SN000868,there (rem),LX000842,
SN000869,from there; that (rem),LX000843,
SN000870,them; those (rem acc),LX000844,
SN000871,their; of those (rem),LX000845,
SN000872,they; those (rem obl),LX000846,
SN000873,that one; it; him; her (rem acc),LX000847,
SN000874,its; his; her; of that (rem),LX000848,
SN000875,"like that, just like that; such, so",LX000849,
SN000876,"then, at that time, at such a time",LX000850,
SN000877,until then,LX000851,
SN000878,of that time,LX000852,
SN000879,"so, that, such; that much, so much, that many; some",LX000853,
SN000880,guarantee; trust,LX000854,
SN000881,that; it; he; she; there (rem obl with postposition),LX000855,
SN000882,exactly such,LX000856,
SN000883,day before yesterday,LX000857,
SN000884,until the day before yesterday,LX000858,
SN000885,since the day before yesterday,LX000859,
SN000886,Suffix added to verb stem to form agentive verbal noun (when followed by feminine agreement suffix),LX000860,
SN000887,"benefit, avail",LX000861,
SN000888,"profitable, useful",LX000862,
SN000889,without reason,LX000863,
SN000890,"free, released",LX000864,
SN000891,a certain (unnamed) person; so and so,LX000865,
SN000892,to disappear,LX000866,
SN000893,angel,LX000867,
SN000894,crop,LX000868,
SN000895,flight,LX000869,
SN000896,troops; army,LX000870,
SN000897,foot (measure),LX000871,
SN000898,telephone,LX000872,
SN000899,to phone,LX000873,
SN000900,(large) cave,LX000874,
SN000901,wrong,LX000875,
SN000902,silent,LX000876,
SN000903,fault,LX000877,
SN000904,"to commit a fault, make a mistake",LX000878,
SN000905,"grief, sorrow",LX000879,
SN000906,"mountain, hill; mountain top",LX000880,
SN000907,in the west,LX000881,
SN000908,poor,LX000882,
SN000909,poverty,LX000883,
SN000910,"stall, pen in a cow-house",LX000884,
SN000911,serving plate,LX000885,
SN000912,greasy; oily,LX000886,
SN000913,bath,LX000887,
SN000914,to take a bath,LX000888,
SN000915,bathroom,LX000889,
SN000916,bone,LX000890,
SN000917,ruler,LX000891,
SN000918,plough,LX000892,
SN000919,hall,LX000893,
SN000920,condition,LX000894,
SN000921,condition; situation,LX000895,
SN000922,situation; news,LX000896,
SN000923,to curse sb,LX000897,
SN000924,to laugh,LX000898,
SN000925,defeat,LX000899,
SN000926,to defeat,LX000900,
SN000927,"to pull, take (sb or sth) [away], abduct, bring, move",LX000901,
SN000928,to produce,LX000902,
SN000929,hand,LX000903,
SN000930,to touch; agree to marry,LX000904,
SN000931,flour,LX000905,
SN000932,present (be),LX000906,
SN000933,bones; skeleton,LX000907,
SN000934,week,LX000908,
SN000935,surprised,LX000909,
SN000936,to be surprised,LX000910,
SN000937,lawful; lawfully slaughtered,LX000911,
SN000938,to slaughter (lawfully),LX000912,
SN000939,habit,LX000913,
SN000940,attack,LX000914,
SN000941,to attack,LX000915,
SN000942,to make sb laugh,LX000916,
SN000943,bones; skeleton,LX000917,
SN000944,egg,LX000918,
SN000945,every,har,
SN000946,Arandu (border town in lower Chitral),LX000919,
SN000947,letter (in written document),harf,
SN000948,breakfast,LX000920,
SN000949,"to hand over, place in sb's custody",LX000921,
SN000950,Lord (esp. as a religious title),LX000922,
SN000951,"would, might, were",LX000923,
SN000952,this year,LX000924,
SN000953,this year's,LX000925,
SN000954,duck,LX000926,
SN000955,account; calculation,LX000927,
SN000956,"to become like, become equal to",LX000928,
SN000957,winter,LX000929,
SN000958,yes!; oh yeah!,LX000930,
SN000959,"glacier, packed snow; avalanche",LX000931,
SN000960,at all,LX000932,
SN000961,migration,LX000933,
SN000962,to migrate,LX000934,
SN000963,brave,LX000935,
SN000964,are (masc pl),LX000936,
SN000965,Present tense marker (masc pl),LX000937,
SN000966,is (fem),LX000938,
SN000967,Present tense marker (fem),LX000939,
SN000968,is (masc sg),LX000940,
SN000969,Present tense marker (masc sg),LX000941,
SN000970,heart,LX000942,
SN000971,"pulled, took away (masc sg)",LX000943,
SN000972,power; energy,LX000944,
SN000973,"to stay, be (present), exist; live",LX000945,
SN000974,hotel; eatery,LX000946,
SN000975,"hotel owner, innkeeper",LX000947,
SN000976,owl,LX000948,
SN000977,body,LX000949,
SN000978,"order, command",LX000950,
SN000979,rule; government; power,LX000951,
SN000980,"to rule, govern",LX000952,
SN000981,heat,LX000953,
SN000982,"also, as well as",hum,
SN000983,"up, up above",LX000954,
SN000984,"upward, uphill, up",LX000955,
SN000985,up there,LX000956,
SN000986,that up (uphill) there (agr: dist nom masc sg),LX000957,
SN000987,"that one (he, it) up there",LX000958,
SN000988,from above,LX000959,
SN000989,wind,LX000960,
SN000990,Converb suffix,LX000961,
SN000991,Plural suffix (with i-declension nouns),LX000962,
SN000992,Oblique case suffix (with i-declension nouns),LX000963,
SN000993,Feminine agreement suffix,-i_1,
SN000994,Feminine agreement suffix,-i_2,
SN000995,worship,LX000964,
SN000996,"to worship, pray",LX000965,
SN000997,Third person singular suffix (with e-ending verb stems),LX000966,
SN000998,Genitive suffix (with accent-shifting nouns),LX000967,
SN000999,Genitive suffix,-ii,
SN001000,First person plural suffix,LX000968,
SN001001,Derivational suffix forming adjectives from nouns (particularly denoting materials or substances),LX000969,
SN001002,Perfective suffix (with some e-ending L-verbs),LX000970,
SN001003,Oblique plural suffix (with i-declension nouns),LX000971,
SN001004,Copredicate suffix,LX000972,
SN001005,Instrumental suffix (with i-declension nouns),LX000973,
SN001006,Third person plural suffix (with e-ending verb stems),LX000974,
SN001007,Second person singular suffix (with e-ending verb stems),LX000975,
SN001008,Second person plural suffix (with e-ending verb stems),LX000976,
SN001009,Passive-deriving (or valence-decreasing) suffix,LX000977,
SN001010,Perfective suffix,LX000978,
SN001011,announcement,LX000979,
SN001012,"to announce, notify, make known",LX000980,
SN001013,Feminine plural agreement suffix,-im_1,
SN001014,Feminine plural agreement suffix,-im_2,
SN001015,"examination, test",LX000981,
SN001016,gift,LX000982,
SN001017,inch (measure),LX000983,
SN001018,here (prox),LX000984,
SN001019,refusal,LX000985,
SN001020,"to refuse, refrain from",LX000986,
SN001021,justice,LX000987,
SN001022,"human being, man; person",LX000988,
SN001023,God willing,LX000989,
SN001024,waiting,LX000990,
SN001025,to wait,LX000991,
SN001026,bear,LX000992,
SN001027,bear's marrow,LX000993,
SN001028,she-bear,LX000994,
SN001029,"plan, decision",LX000995,
SN001030,"to plan, decide",LX000996,
SN001031,school,LX000997,
SN001032,Islam,LX000998,
SN001033,Islamabad (the capital of Pakistan),LX000999,
SN001034,early winter; a 40-day period during which the weather is turning cold and there is possibility of snow fall (1 Dec-10 Jan),LX001000,
SN001035,"barren, sterile (only about female animals)",LX001001,
SN001036,"signal, sign; hint",LX001002,
SN001037,"to signal, hint",LX001003,
SN001038,hunting,LX001004,
SN001039,flute,LX001005,
SN001040,kind of milk product,LX001006,
SN001041,to praise,LX001007,
SN001042,hunting,LX001008,
SN001043,to fall prey,LX001009,
SN001044,brick,LX001010,
SN001045,"message, information",LX001011,
SN001046,"honour, pride",LX001012,
SN001047,"respected, honourable",LX001013,
SN001048,rainbow,LX001014,
SN001049,Ijdur (place),LX001015,
SN001050,magic,LX001016,
SN001051,"to conjure, charm",LX001017,
SN001052,"property, estate",LX001018,
SN001053,web,LX001019,
SN001054,alive; living (person),LX001020,
SN001055,"individual, (male) person",LX001021,
SN001056,fever,LX001022,
SN001057,old; hardened; not fresh,LX001023,
SN001058,broom,LX001024,
SN001059,"property, land",LX001025,
SN001060,lawn; grass,LX001026,
SN001061,iron bar (for removing heavy objects),LX001027,
SN001062,uvula,LX001028,
SN001063,aeroplane; vessel,LX001029,
SN001064,hairy (more than normal),LX001030,
SN001065,"to gather, come together",LX001031,
SN001066,"to gather, collect",LX001032,
SN001067,"class, grade",LX001033,
SN001068,Sir,LX001034,
SN001069,"paradise, heaven",LX001035,
SN001070,"to become alive, regain strength",LX001036,
SN001071,"to give life, make alive",LX001037,
SN001072,goat (generic),LX001038,
SN001073,lock,LX001039,
SN001074,wedding party; the bringing of the bride to the bridegroom's house,LX001040,
SN001075,quarrel; war,LX001041,
SN001076,"war, battle",LX001042,
SN001077,generator,LX001043,
SN001078,"council, decision",LX001044,
SN001079,to consult,LX001045,
SN001080,big toe,LX001046,
SN001081,"emotion, feeling",LX001047,
SN001082,"up (from); on; over, above",LX001048,
SN001083,jail,LX001049,
SN001084,alive (fem),LX001050,
SN001085,female person,LX001051,
SN001086,pocket,LX001052,
SN001087,jet plane,LX001053,
SN001088,to light (a fire),LX001054,
SN001089,son-in-law; daughter's husband,LX001055,
SN001090,to wake up,LX001056,
SN001091,bastard,LX001057,
SN001092,goat's hair; fur,LX001058,
SN001093,"to hurt, cause pain",LX001059,
SN001094,bride,LX001060,
SN001095,bridegroom,LX001061,
SN001096,snake,LX001062,
SN001097,marriage; wedding,LX001063,
SN001098,to marry,LX001064,
SN001099,liver,LX001065,
SN001100,"small, black centipede",LX001066,
SN001101,(made) of fur,LX001067,
SN001102,"hairy, fur-clad",LX001068,
SN001103,sister-in-law; a woman's husband's sister,LX001069,
SN001104,(head) louse,LX001070,
SN001105,"all day (long), incessantly",LX001071,
SN001106,"to recognize, know, understand",LX001072,
SN001107,"on (top of), in; on to; over; about, at; due to",LX001073,
SN001108,onto,LX001074,
SN001109,dirt; defilement,LX001075,
SN001110,to dirty,LX001076,
SN001111,"to burn sth, set sth on fire",LX001077,
SN001112,stinging nettle (used for stews),LX001078,
SN001113,"to hit, shoot, beat",LX001079,
SN001114,cream,LX001080,
SN001115,corpse,LX001081,
SN001116,tongue,LX001082,
SN001117,"hit, shot, beat (masc sg)",LX001083,
SN001118,"to be born, have [a child]; grow up",LX001084,
SN001119,child; descendant,LX001085,
SN001120,joint,LX001086,
SN001121,"to greet, say hello",LX001087,
SN001122,"to consider, regard; think",LX001088,
SN001123,maize,LX001089,
SN001124,from maize (usually about bread),LX001090,
SN001125,life,LX001091,
SN001126,to be separated,LX001092,
SN001127,separation,LX001093,
SN001128,Friday,LX001094,
SN001129,mosque,LX001095,
SN001130,body,LX001096,
SN001131,Afghanistan; Kabul,LX001097,
SN001132,straw; hay,LX001098,
SN001133,quite some; enough,LX001099,
SN001134,infidel,LX001100,
SN001135,paper,LX001101,
SN001136,Respectful term of address; dear uncle,LX001102,
SN001137,young crow,LX001103,
SN001138,older brother,LX001104,
SN001139,year,LX001105,
SN001140,"Kalasha; of Kalasha origin (a neighbouring, non-Muslim, group); Kalasha person",LX001106,
SN001141,Kalasha (fem),LX001107,
SN001142,"of age, aged",LX001108,
SN001143,to shiver,LX001109,
SN001144,shoulder,LX001110,
SN001145,to carry (sth or sb) on one's shoulder,LX001111,
SN001146,"to go mad, become (mentally) disturbed",LX001112,
SN001147,"insane (person); crazy, mad",LX001113,
SN001148,ear,LX001114,
SN001149,"to listen, give heed to",LX001115,
SN001150,thorn,LX001116,
SN001151,factory,LX001117,
SN001152,kind of milk product (the liquid that is squeezed out when making lassi),LX001118,
SN001153,"Katergha (a settlement in Sharadesh, Ashret Valley)",LX001119,
SN001154,skull; scalp,LX001120,
SN001155,chicken,LX001121,
SN001156,hen-coop,LX001122,
SN001157,chicken,LX001123,
SN001158,hen,LX001124,
SN001159,big centipede,LX001125,
SN001160,less; inferior,kam,
SN001161,room,LX001126,
SN001162,weakness,LX001127,
SN001163,"of what kind, in what way/state; what",LX001128,
SN001164,how; in what manner (intr),LX001129,
SN001165,how; in what manner (tr),LX001130,
SN001166,"pit, hole (in the ground)",LX001131,
SN001167,grain container (made of mud),LX001132,
SN001168,earring,LX001133,
SN001169,Kanegha (hamlet in central Ashret Valley); in Khowar: koc̣hanɡool,LX001134,
SN001170,to scratch (oneself or a body part),LX001135,
SN001171,to fold,LX001136,
SN001172,Karachi,LX001137,
SN001173,leopard; wild beast (in general),LX001138,
SN001174,to cut (sth large),LX001139,
SN001175,when; whenever,LX001140,
SN001176,never,LX001141,
SN001177,"when, whenever; as",LX001142,
SN001178,leopardess,LX001143,
SN001179,around,LX001144,
SN001180,"to dig, scratch",LX001145,
SN001181,"effort; extra work, burden",LX001146,
SN001182,"to sacrifice oneself, make an effort; suffer",LX001147,
SN001183,"to tease, annoy; make sb tired",LX001148,
SN001184,"persons, people",LX001149,
SN001185,"who, somebody, anybody (acc)",LX001150,
SN001186,"whose, somebody's, anybody's",LX001151,
SN001187,occupation; trade; skill,LX001152,
SN001188,to work (in a profession),LX001153,
SN001189,professional,LX001154,
SN001190,draught (of smoke),LX001155,
SN001191,tightly,LX001156,
SN001192,"to smoke, take a draught (of smoke)",LX001157,
SN001193,what kind of; such kind of,LX001158,
SN001194,pack-saddle for donkeys,LX001159,
SN001195,"how many, how much; that many, that much; a few",LX001160,
SN001196,"no matter how many, no matter how often",LX001161,
SN001197,as many as; that many,LX001162,
SN001198,that big; what a big [sth]; how big; of such size,LX001163,
SN001199,which one in the order; in which,LX001164,
SN001200,fodder sack,LX001165,
SN001201,"to behead, cut off",LX001166,
SN001202,large knife,LX001167,
SN001203,"large knife (for fighting or clearing the forest, used by shepherds)",LX001168,
SN001204,"Katoor, a ruling dynasty in Chitral",LX001169,
SN001205,"why, for what reason",LX001170,
SN001206,"(near) to, with",LX001171,
SN001207,next to (a person),LX001172,
SN001208,older sister,LX001173,
SN001209,"because, since",LX001174,
SN001210,walnut kernel (the nut without its hard shell),LX001175,
SN001211,camp (military),LX001176,
SN001212,why not,LX001177,
SN001213,cancelled,LX001178,
SN001214,to be cancelled,LX001179,
SN001215,comb,LX001180,
SN001216,cave,LX001181,
SN001217,bad,LX001182,
SN001218,owner; husband,LX001183,
SN001219,owner (female),LX001184,
SN001220,mountain; mountain pass; Lowari Pass,LX001185,
SN001221,donkey,LX001186,
SN001222,lid,LX001187,
SN001223,leather grain bag (made from the skin of a he-goat),LX001188,
SN001224,leather grain bag (made from the skin of a small she-goat),LX001189,
SN001225,to stir,LX001190,
SN001226,stirred (masc sg),LX001191,
SN001227,to stir (with big movements),LX001192,
SN001228,Co-lexicalized intensifier,kham,
SN001229,sword,LX001193,
SN001230,"to hit, shoot",LX001194,
SN001231,"hit, shot (masc sg)",LX001195,
SN001232,Kharato; descendant of Kharat Mir; member of the Kharate clan (in Ashret),LX001196,
SN001233,bolt (on door or window),LX001197,
SN001234,female donkey,LX001198,
SN001235,to drag,LX001199,
SN001236,hoe,LX001200,
SN001237,short,LX001201,
SN001238,short (fem),LX001202,
SN001239,to cover (a roof or a grave),LX001203,
SN001240,(tree) log; large piece of wood,LX001204,
SN001241,which one,LX001205,
SN001242,"that; that one; such; which, who",LX001206,
SN001243,"who, which one(s)",LX001207,
SN001244,bad (fem),LX001208,
SN001245,shield,LX001209,
SN001246,quite some; numerous,LX001210,
SN001247,alone,LX001211,
SN001248,became tired (masc sg),LX001212,
SN001249,to become tired,LX001213,
SN001250,window,LX001214,
SN001251,"to speak, talk, discuss; say",LX001215,
SN001252,to make (sb) speak,LX001216,
SN001253,to eat,LX001217,
SN001254,to ask,LX001218,
SN001255,to dig,LX001219,
SN001256,rung of a ladder,LX001220,
SN001257,cap (Chitrali style),LX001221,
SN001258,inner side (of house); side towards wall or mountain side,khun,
SN001259,"(near) to, with",LX001222,
SN001260,(moving near) to (a person),LX001223,
SN001261,foot; leg (including the foot),khur,
SN001262,foot end of bed,LX001224,
SN001263,to the left,LX001225,
SN001264,left; left-handed,LX001226,
SN001265,"crack, hole",LX001227,
SN001266,sack,LX001228,
SN001267,kneecap,LX001229,
SN001268,"leg, knee",LX001230,
SN001269,lame (not able to walk normally),LX001231,
SN001270,cough,LX001232,
SN001271,log (of wood),LX001233,
SN001272,as; of; out of; with,ki_1,
SN001273,or,ki_2,
SN001274,Complementizer preceding extraposed complement clause,ki_3,
SN001275,"whither, (to) where",LX001234,
SN001276,who; somebody; anybody (obl),LX001235,
SN001277,"whoever, anybody",LX001236,
SN001278,tar,LX001237,
SN001279,wherever,LX001238,
SN001280,key,LX001239,
SN001281,sapling; plant,LX001240,
SN001282,smoke-hole,LX001241,
SN001283,snow,kir,
SN001284,to snow,LX001242,
SN001285,divine or miraculous power,LX001243,
SN001286,lizard,LX001244,
SN001287,chest,LX001245,
SN001288,unfaithful,LX001246,
SN001289,"Nuristani, from Nuristan; person from Nuristan",LX001247,
SN001290,book,LX001248,
SN001291,"to move, stir sth",LX001249,
SN001292,widowed; hornless,LX001250,
SN001293,"who, somebody, anybody (nom)",LX001251,
SN001294,olive tree,LX001252,
SN001295,nobody,LX001253,
SN001296,Kodgha (hamlet in central Ashret Valley),LX001254,
SN001297,the Kodgha nullah,LX001255,
SN001298,made from olive tree wood,LX001256,
SN001299,crow,LX001257,
SN001300,soft,LX001258,
SN001301,soft (fem),LX001259,
SN001302,arrow,LX001260,
SN001303,hip,LX001261,
SN001304,attempt,LX001262,
SN001305,to try,LX001263,
SN001306,hard,LX001264,
SN001307,hard (fem),LX001265,
SN001308,cheek,LX001266,
SN001309,"work; deed, behaviour",LX001267,
SN001310,"to work, act, do",LX001268,
SN001311,lazy,LX001269,
SN001312,sold (masc sg),LX001270,
SN001313,to sell,LX001271,
SN001314,to blacken,LX001272,
SN001315,black,LX001273,
SN001316,line; boundary,LX001274,
SN001317,"maybe, perhaps",LX001275,
SN001318,female dog; grown bitch,LX001276,
SN001319,Kucuroto; descendant of Kucurot; member of the Kucurote clan (in Ashret),LX001277,
SN001320,dog,LX001278,
SN001321,wall,LX001279,
SN001322,crack in the wall,LX001280,
SN001323,(water) well,LX001281,
SN001324,valley,LX001282,
SN001325,kilometre,LX001283,
SN001326,shelf,LX001284,
SN001327,rifle butt; part of plough,LX001285,
SN001328,child; boy,LX001286,
SN001329,rod (for fishing or dragging logs),LX001287,
SN001330,bitch (puppy),LX001288,
SN001331,puppy,LX001289,
SN001332,chair,LX001290,
SN001333,woman; wife,LX001291,
SN001334,women (irr plural),LX001292,
SN001335,households; inhabitants,LX001293,
SN001336,"to crush (corn, etc.); beat",LX001294,
SN001337,younger sister,LX001295,
SN001338,younger brother,LX001296,
SN001339,bent; crooked; not straight,LX001297,
SN001340,to grunt,LX001298,
SN001341,corner (inside a house),LX001299,
SN001342,there; to there (dist),LX001300,
SN001343,found (masc sg),LX001301,
SN001344,Lahore,LX001302,
SN001345,from there (dist); that,LX001303,
SN001346,lakh; one hundred thousand,LX001304,
SN001347,greed,LX001305,
SN001348,bath,LX001306,
SN001349,to take a bath,LX001307,
SN001350,to cross; walk (across); swim (across),LX001308,
SN001351,lantern,LX001309,
SN001352,broth; soup,LX001310,
SN001353,to be ashamed,LX001311,
SN001354,thus; as if; about; like,LX001312,
SN001355,backward,LX001313,
SN001356,"buttocks, rump, bottom",LX001314,
SN001357,flame,LX001315,
SN001358,length,LX001316,
SN001359,firewood; kindling wood,LX001317,
SN001360,tail,LX001318,
SN001361,tail-less,LX001319,
SN001362,to hang,LX001320,
SN001363,to hang (up) something,LX001321,
SN001364,them (dist acc),LX001322,
SN001365,their (dist),LX001323,
SN001366,they (dist obl),LX001324,
SN001367,to take across,LX001325,
SN001368,quickly; soon,lap,
SN001369,pumpkin,LX001326,
SN001370,it; him; her (dist acc),las,
SN001371,his; her; its (dist),LX001327,
SN001372,swiftly,LX001328,
SN001373,to get out of sight,LX001329,
SN001374,to move sth out of sight,LX001330,
SN001375,to search through,LX001331,
SN001376,Lawani (a part of the settlement Sharadesh in Ashret),LX001332,
SN001377,lover (secret),LX001333,
SN001378,big stick,LX001334,
SN001379,army,LX001335,
SN001380,"to attach, put in, set up, spend",LX001336,
SN001381,"to be put in, be put up, be spent, be needed",LX001337,
SN001382,"that, this (agr: dist fem / dist non-nom masc)",le_1,
SN001383,"those, these (agr: dist)",le_2,
SN001384,that one; it; she (dist fem nom),le_3,
SN001385,those ones; these ones; they (dist nom),le_4,
SN001386,found (fem sg),LX001338,
SN001387,"to comfort, calm sb down",LX001339,
SN001388,leg (the whole),LX001340,
SN001389,lie,LX001341,
SN001390,"to lie, tell lies",LX001342,
SN001391,to count,LX001343,
SN001392,small,LX001344,
SN001393,"to drop, fall out; escape, run away",LX001345,
